date	count
18-October-13	61477
19-October-13	60616
20-October-13	64638
21-October-13	64006
22-October-13	66498
23-October-13	68807
24-October-13	65122
25-October-13	64405
26-October-13	67461
27-October-13	64466
28-October-13	68945
29-October-13	61056
30-October-13	63410
31-October-13	64372
01-November-13	60345
02-November-13	61266
03-November-13	67025
04-November-13	61707
05-November-13	63541
06-November-13	68554
07-November-13	64504
08-November-13	67154
09-November-13	64592
10-November-13	67540
11-November-13	69856
12-November-13	60722
13-November-13	61756
14-November-13	63523
15-November-13	63288
16-November-13	61236
17-November-13	60330
18-November-13	67515
19-November-13	66865
20-November-13	61996
21-November-13	69364
22-November-13	68313
23-November-13	64807
24-November-13	65027
25-November-13	62433
26-November-13	65133
27-November-13	65684
28-November-13	66173
29-November-13	60168
30-November-13	61545
01-December-13	66297
02-December-13	66690
03-December-13	61730
04-December-13	63757
05-December-13	68892
06-December-13	60092
07-December-13	69214
08-December-13	68155
09-December-13	60801
10-December-13	67006
11-December-13	68737
12-December-13	63702
13-December-13	60765
14-December-13	66846
15-December-13	66646
16-December-13	44532
17-December-13	48800
18-December-13	46270
19-December-13	47584
20-December-13	47912
21-December-13	40933
22-December-13	47745
23-December-13	43560
24-December-13	49722
25-December-13	44302
26-December-13	44816
27-December-13	48102
28-December-13	46070
29-December-13	42997
30-December-13	47548
31-December-13	43954
01-January-14	45300
02-January-14	41680
03-January-14	48234
04-January-14	40867
05-January-14	40121
06-January-14	44059
07-January-14	42702
08-January-14	42131
09-January-14	45127
10-January-14	48899
11-January-14	44728
12-January-14	45127
13-January-14	47098
14-January-14	45210
15-January-14	40432
16-January-14	43794
17-January-14	46226
18-January-14	40629
19-January-14	42787
20-January-14	49886
21-January-14	45087
22-January-14	47057
23-January-14	44659
24-January-14	46747
25-January-14	47888
26-January-14	40843
27-January-14	48562
28-January-14	46093
29-January-14	41654
30-January-14	44787
31-January-14	46274
01-February-14	42760
02-February-14	45713
03-February-14	48837
04-February-14	43139
05-February-14	48716
06-February-14	40036
07-February-14	46968
08-February-14	47751
09-February-14	46035
10-February-14	48192
11-February-14	44952
12-February-14	42220
13-February-14	46594
14-February-14	43575
15-February-14	45210
16-February-14	45248
17-February-14	45531
18-February-14	49546
19-February-14	48345
20-February-14	41040
21-February-14	46078
22-February-14	46113
23-February-14	48694
24-February-14	47656
25-February-14	40401
26-February-14	43747
27-February-14	40966
28-February-14	43247
01-March-14	47088
02-March-14	41091
03-March-14	45901
04-March-14	45704
05-March-14	43513
06-March-14	43173
07-March-14	47139
08-March-14	49707
09-March-14	47099
10-March-14	48111
11-March-14	47014
12-March-14	44826
13-March-14	44668
14-March-14	46182
15-March-14	48228
16-March-14	48986
17-March-14	46506
18-March-14	46835
19-March-14	42410
20-March-14	44088
21-March-14	48393
22-March-14	40743
23-March-14	44646
24-March-14	49851
25-March-14	47479
26-March-14	44996
27-March-14	40004
28-March-14	41449
29-March-14	43447
30-March-14	48624
31-March-14	47469
01-April-14	40535
02-April-14	44008
03-April-14	46634
04-April-14	47302
05-April-14	43282
06-April-14	40036
07-April-14	45224
08-April-14	41601
09-April-14	46805
10-April-14	44695
11-April-14	46028
12-April-14	40318
13-April-14	49996
14-April-14	40712
15-April-14	44103
16-April-14	42324
17-April-14	61471
18-April-14	67063
19-April-14	66086
20-April-14	64265
21-April-14	65029
22-April-14	63110
23-April-14	60854
24-April-14	63227
25-April-14	66575
26-April-14	66043
27-April-14	62171
28-April-14	62693
29-April-14	62198
30-April-14	63274
01-May-14	62474
02-May-14	61830
03-May-14	64792
04-May-14	66747
05-May-14	68070
06-May-14	63030
07-May-14	65520
08-May-14	61845
09-May-14	69008
10-May-14	66006
11-May-14	65957
12-May-14	64335
13-May-14	66173
14-May-14	65574
15-May-14	61789
16-May-14	61169
17-May-14	60568
18-May-14	61919
19-May-14	67109
20-May-14	62903
21-May-14	62442
22-May-14	62364
23-May-14	67835
24-May-14	60331
25-May-14	64964
26-May-14	63446
27-May-14	63279
28-May-14	68825
29-May-14	65996
30-May-14	65060
31-May-14	69431
01-June-14	61843
02-June-14	68219
03-June-14	68988
04-June-14	66427
05-June-14	68359
06-June-14	69500
07-June-14	67079
08-June-14	69664
09-June-14	64950
10-June-14	68313
11-June-14	68991
12-June-14	68612
13-June-14	66681
14-June-14	62354
15-June-14	68663
16-June-14	61050
17-June-14	67481
18-June-14	64171
19-June-14	67900
20-June-14	63632
21-June-14	66840
22-June-14	61619
23-June-14	65497
24-June-14	65788
25-June-14	68252
26-June-14	62218
27-June-14	65029
28-June-14	68336
29-June-14	63372
30-June-14	60218
01-July-14	65970
02-July-14	63290
03-July-14	65835
04-July-14	60694
05-July-14	63719
06-July-14	65004
07-July-14	64212
08-July-14	69919
09-July-14	63839
10-July-14	64451
11-July-14	60197
12-July-14	65735
13-July-14	68762
14-July-14	65528
15-July-14	66865
16-July-14	63966
17-July-14	69234
18-July-14	63235
19-July-14	66921
20-July-14	66845
21-July-14	69722
22-July-14	68316
23-July-14	65058
24-July-14	68184
25-July-14	63357
26-July-14	61053
27-July-14	66461
28-July-14	62756
29-July-14	62515
30-July-14	62927
31-July-14	65947
01-August-14	64014
02-August-14	69389
03-August-14	64017
04-August-14	64942
05-August-14	67500
06-August-14	61788
07-August-14	60119
08-August-14	66164
09-August-14	68802
10-August-14	62001
11-August-14	67817
12-August-14	64047
13-August-14	68188
14-August-14	67020
15-August-14	61633
16-August-14	69857
17-August-14	66622
18-August-14	95146
19-August-14	98040
20-August-14	93180
21-August-14	99532
22-August-14	93864
23-August-14	98721
24-August-14	92392
25-August-14	98078
26-August-14	93444
27-August-14	91660
28-August-14	95100
29-August-14	92094
30-August-14	95720
31-August-14	90810
01-September-14	93416
02-September-14	90555
