date	count
18-October-13	66
19-October-13	140
20-October-13	81
21-October-13	62
22-October-13	92
23-October-13	117
24-October-13	121
25-October-13	55
26-October-13	91
27-October-13	57
28-October-13	106
29-October-13	63
30-October-13	81
31-October-13	123
01-November-13	59
02-November-13	94
03-November-13	115
04-November-13	82
05-November-13	137
06-November-13	78
07-November-13	56
08-November-13	137
09-November-13	63
10-November-13	72
11-November-13	92
12-November-13	78
13-November-13	125
14-November-13	74
15-November-13	140
16-November-13	76
17-November-13	92
18-November-13	54
19-November-13	136
20-November-13	100
21-November-13	112
22-November-13	118
23-November-13	129
24-November-13	69
25-November-13	122
26-November-13	80
27-November-13	101
28-November-13	103
29-November-13	55
30-November-13	108
01-December-13	145
02-December-13	99
03-December-13	143
04-December-13	124
05-December-13	129
06-December-13	66
07-December-13	141
08-December-13	83
09-December-13	86
10-December-13	139
11-December-13	92
12-December-13	89
13-December-13	115
14-December-13	79
15-December-13	80
16-December-13	309
17-December-13	421
18-December-13	311
19-December-13	313
20-December-13	424
21-December-13	405
22-December-13	321
23-December-13	354
24-December-13	487
25-December-13	420
26-December-13	417
27-December-13	318
28-December-13	349
29-December-13	466
30-December-13	435
31-December-13	341
01-January-14	367
02-January-14	407
03-January-14	345
04-January-14	414
05-January-14	480
06-January-14	430
07-January-14	356
08-January-14	304
09-January-14	425
10-January-14	341
11-January-14	401
12-January-14	377
13-January-14	329
14-January-14	350
15-January-14	364
16-January-14	331
17-January-14	357
18-January-14	314
19-January-14	418
20-January-14	478
21-January-14	375
22-January-14	426
23-January-14	324
24-January-14	407
25-January-14	486
26-January-14	482
27-January-14	366
28-January-14	419
29-January-14	336
30-January-14	368
31-January-14	317
01-February-14	339
02-February-14	363
03-February-14	316
04-February-14	395
05-February-14	435
06-February-14	486
07-February-14	348
08-February-14	487
09-February-14	476
10-February-14	334
11-February-14	342
12-February-14	309
13-February-14	311
14-February-14	302
15-February-14	487
16-February-14	365
17-February-14	407
18-February-14	363
19-February-14	313
20-February-14	381
21-February-14	356
22-February-14	471
23-February-14	369
24-February-14	385
25-February-14	426
26-February-14	461
27-February-14	486
28-February-14	337
01-March-14	323
02-March-14	468
03-March-14	362
04-March-14	359
05-March-14	308
06-March-14	343
07-March-14	490
08-March-14	473
09-March-14	437
10-March-14	392
11-March-14	422
12-March-14	442
13-March-14	485
14-March-14	351
15-March-14	492
16-March-14	387
17-March-14	440
18-March-14	472
19-March-14	347
20-March-14	361
21-March-14	402
22-March-14	392
23-March-14	405
24-March-14	412
25-March-14	378
26-March-14	500
27-March-14	382
28-March-14	331
29-March-14	350
30-March-14	462
31-March-14	500
01-April-14	403
02-April-14	366
03-April-14	419
04-April-14	433
05-April-14	498
06-April-14	440
07-April-14	300
08-April-14	313
09-April-14	466
10-April-14	301
11-April-14	462
12-April-14	356
13-April-14	303
14-April-14	468
15-April-14	352
16-April-14	346
17-April-14	221
18-April-14	218
19-April-14	217
20-April-14	243
21-April-14	240
22-April-14	269
23-April-14	269
24-April-14	233
25-April-14	246
26-April-14	224
27-April-14	256
28-April-14	300
29-April-14	242
30-April-14	209
01-May-14	297
02-May-14	281
03-May-14	252
04-May-14	241
05-May-14	263
06-May-14	213
07-May-14	226
08-May-14	202
09-May-14	223
10-May-14	281
11-May-14	232
12-May-14	215
13-May-14	262
14-May-14	266
15-May-14	254
16-May-14	268
17-May-14	214
18-May-14	241
19-May-14	298
20-May-14	270
21-May-14	234
22-May-14	210
23-May-14	254
24-May-14	256
25-May-14	275
26-May-14	233
27-May-14	279
28-May-14	245
29-May-14	273
30-May-14	213
31-May-14	264
01-June-14	232
02-June-14	256
03-June-14	256
04-June-14	216
05-June-14	294
06-June-14	262
07-June-14	250
08-June-14	296
09-June-14	244
10-June-14	291
11-June-14	236
12-June-14	293
13-June-14	280
14-June-14	256
15-June-14	299
16-June-14	246
17-June-14	284
18-June-14	267
19-June-14	243
20-June-14	285
21-June-14	280
22-June-14	208
23-June-14	289
24-June-14	247
25-June-14	204
26-June-14	212
27-June-14	237
28-June-14	208
29-June-14	232
30-June-14	246
01-July-14	271
02-July-14	283
03-July-14	256
04-July-14	274
05-July-14	219
06-July-14	205
07-July-14	272
08-July-14	257
09-July-14	293
10-July-14	203
11-July-14	280
12-July-14	210
13-July-14	242
14-July-14	221
15-July-14	287
16-July-14	294
17-July-14	248
18-July-14	228
19-July-14	252
20-July-14	294
21-July-14	289
22-July-14	297
23-July-14	242
24-July-14	237
25-July-14	284
26-July-14	266
27-July-14	227
28-July-14	248
29-July-14	263
30-July-14	260
31-July-14	256
01-August-14	218
02-August-14	226
03-August-14	277
04-August-14	291
