date,temp
10-18-13,65
10-19-13,61
10-20-13,61
10-21-13,69
10-22-13,65
10-23-13,67
10-24-13,69
10-25-13,66
10-26-13,66
10-27-13,68
10-28-13,73
10-29-13,75
10-30-13,76
10-31-13,70
11-01-13,66
11-02-13,62
11-03-13,57
11-04-13,63
11-05-13,74
11-06-13,66
11-07-13,58
11-08-13,58
11-09-13,62
11-10-13,64
11-11-13,64
11-12-13,60
11-13-13,46
11-14-13,50
11-15-13,65
11-16-13,69
11-17-13,77
11-18-13,71
11-19-13,60
11-20-13,61
11-21-13,74
11-22-13,58
11-23-13,47
11-24-13,46
11-25-13,42
11-26-13,42
11-27-13,42
11-28-13,43
11-29-13,49
11-30-13,55
12-01-13,59
12-02-13,69
12-03-13,71
12-04-13,76
12-05-13,57
12-06-13,39
12-07-13,36
12-08-13,42
12-09-13,44
12-10-13,41
12-11-13,44
12-12-13,46
12-13-13,48
12-14-13,49
12-15-13,45
12-16-13,47
12-17-13,53
12-18-13,54
12-19-13,61
12-20-13,73
12-21-13,64
12-22-13,49
12-23-13,43
12-24-13,44
12-25-13,47
12-26-13,55
12-27-13,53
12-28-13,51
12-29-13,52
12-30-13,45
12-31-13,44
01-01-14,56
01-02-14,48
01-03-14,43
01-04-14,51
01-05-14,50
01-06-14,32
01-07-14,33
01-08-14,48
01-09-14,60
01-10-14,64
01-11-14,60
01-12-14,56
01-13-14,58
01-14-14,53
01-15-14,48
01-16-14,52
01-17-14,51
01-18-14,51
01-19-14,55
01-20-14,58
01-21-14,50
01-22-14,49
01-23-14,45
01-24-14,32
01-25-14,45
01-26-14,58
01-27-14,55
01-28-14,40
01-29-14,36
01-30-14,40
01-31-14,65
02-01-14,68
02-02-14,53
02-03-14,45
02-04-14,47
02-05-14,45
02-06-14,36
02-07-14,37
02-08-14,48
02-09-14,57
02-10-14,49
02-11-14,39
02-12-14,43
02-13-14,46
02-14-14,59
02-15-14,55
02-16-14,64
02-17-14,72
02-18-14,73
02-19-14,71
02-20-14,68
02-21-14,57
02-22-14,57
02-23-14,69
02-24-14,64
02-25-14,68
02-26-14,48
02-27-14,45
02-28-14,56
03-01-14,74
03-02-14,56
03-03-14,35
03-04-14,35
03-05-14,45
03-06-14,53
03-07-14,52
03-08-14,60
03-09-14,52
03-10-14,61
03-11-14,66
03-12-14,59
03-13-14,53
03-14-14,61
03-15-14,66
03-16-14,57
03-17-14,54
03-18-14,60
03-19-14,66
03-20-14,66
03-21-14,64
