date,temp
10-18-13,62
10-19-13,58
10-20-13,57
10-21-13,58
10-22-13,59
10-23-13,50
10-24-13,48
10-25-13,47
10-26-13,48
10-27-13,52
10-28-13,52
10-29-13,50
10-30-13,54
10-31-13,60
11-01-13,65
11-02-13,62
11-03-13,46
11-04-13,41
11-05-13,48
11-06-13,55
11-07-13,54
11-08-13,45
11-09-13,44
11-10-13,53
11-11-13,48
11-12-13,42
11-13-13,34
11-14-13,43
11-15-13,51
11-16-13,53
11-17-13,56
11-18-13,58
11-19-13,44
11-20-13,38
11-21-13,44
11-22-13,54
11-23-13,43
11-24-13,27
11-25-13,29
11-26-13,40
11-27-13,49
11-28-13,33
11-29-13,34
11-30-13,32
12-01-13,43
12-02-13,45
12-03-13,46
12-04-13,47
12-05-13,54
12-06-13,50
12-07-13,37
12-08-13,31
12-09-13,35
12-10-13,34
12-11-13,30
12-12-13,27
12-13-13,29
12-14-13,28
12-15-13,35
12-16-13,29
12-17-13,28
12-18-13,30
12-19-13,39
12-20-13,47
12-21-13,58
12-22-13,66
12-23-13,53
12-24-13,34
12-25-13,25
12-26-13,33
12-27-13,36
12-28-13,46
12-29-13,45
12-30-13,34
12-31-13,27
01-01-14,29
01-02-14,26
01-03-14,14
01-04-14,19
01-05-14,34
01-06-14,37
01-07-14,12
01-08-14,16
01-09-14,27
01-10-14,34
01-11-14,48
01-12-14,46
01-13-14,44
01-14-14,48
01-15-14,40
01-16-14,38
01-17-14,39
01-18-14,34
01-19-14,31
01-20-14,40
01-21-14,23
01-22-14,13
01-23-14,14
01-24-14,15
01-25-14,24
01-26-14,26
01-27-14,33
01-28-14,17
01-29-14,19
01-30-14,23
01-31-14,32
02-01-14,41
02-02-14,48
02-03-14,38
02-04-14,29
02-05-14,32
02-06-14,27
02-07-14,28
02-08-14,25
02-09-14,26
02-10-14,25
02-11-14,21
02-12-14,19
02-13-14,30
02-14-14,36
02-15-14,32
02-16-14,26
02-17-14,25
02-18-14,33
02-19-14,40
02-20-14,44
02-21-14,43
02-22-14,47
02-23-14,49
02-24-14,36
02-25-14,29
02-26-14,26
02-27-14,24
02-28-14,17
03-01-14,29
03-02-14,36
03-03-14,25
03-04-14,21
03-05-14,33
03-06-14,24
03-07-14,32
03-08-14,46
03-09-14,40
03-10-14,44
03-11-14,56
03-12-14,44
03-13-14,26
03-14-14,34
03-15-14,50
03-16-14,36
03-17-14,29
03-18-14,36
03-19-14,39
03-20-14,47
03-21-14,45
03-22-14,52
03-23-14,35
03-24-14,28
03-25-14,33
03-26-14,30
03-27-14,33
03-28-14,50
03-29-14,51
03-30-14,44
03-31-14,46
04-01-14,50
04-02-14,48
04-03-14,57
04-04-14,44
04-05-14,47
04-06-14,49
04-07-14,48
04-08-14,55
04-09-14,53
04-10-14,50
04-11-14,66
04-12-14,62
04-13-14,66
04-14-14,67
04-15-14,48
04-16-14,40
04-17-14,42
04-18-14,42
04-19-14,55
04-20-14,53
04-21-14,54
04-22-14,61
04-23-14,53
04-24-14,52
04-25-14,54
04-26-14,57
04-27-14,53
04-28-14,56
04-29-14,48
04-30-14,47
05-01-14,65
05-02-14,63
05-03-14,63
05-04-14,60
05-05-14,60
05-06-14,62
05-07-14,60
05-08-14,56
05-09-14,59
05-10-14,70
05-11-14,71
05-12-14,75
05-13-14,63
05-14-14,62
05-15-14,65
05-16-14,63
05-17-14,62
05-18-14,59
05-19-14,61
05-20-14,66
05-21-14,69
05-22-14,63
05-23-14,64
05-24-14,64
05-25-14,68
05-26-14,76
05-27-14,75
05-28-14,59
05-29-14,59
05-30-14,65
05-31-14,65
06-01-14,66
06-02-14,70
06-03-14,76
06-04-14,73
06-05-14,69
06-06-14,69
06-07-14,71
06-08-14,76
06-09-14,68
06-10-14,71
06-11-14,66
06-12-14,67
06-13-14,72
06-14-14,67
06-15-14,70
06-16-14,72
06-17-14,80
06-18-14,83
06-19-14,73
06-20-14,72
06-21-14,70
06-22-14,72
06-23-14,73
06-24-14,75
06-25-14,78
06-26-14,78
06-27-14,75
06-28-14,77
06-29-14,76
06-30-14,77
07-01-14,81
07-02-14,82
07-03-14,78
07-04-14,70
07-05-14,72
07-06-14,75
07-07-14,81
07-08-14,81
07-09-14,80
07-10-14,78
07-11-14,79
07-12-14,78
07-13-14,78
07-14-14,78
07-15-14,79
07-16-14,75
07-17-14,74
07-18-14,73
07-19-14,72
07-20-14,72
07-21-14,76
07-22-14,79
07-23-14,80
07-24-14,75
07-25-14,74
07-26-14,75
07-27-14,78
07-28-14,75
07-29-14,70
07-30-14,72
07-31-14,75
08-01-14,78
08-02-14,69
08-03-14,71
08-04-14,77
08-05-14,81
08-06-14,77
08-07-14,75
08-08-14,74
08-09-14,77
08-10-14,78
08-11-14,79
08-12-14,75
08-13-14,75
08-14-14,70
08-15-14,67
08-16-14,71
08-17-14,74
08-18-14,72
08-19-14,73
08-20-14,77
08-21-14,74
08-22-14,72
08-23-14,72
08-24-14,72
08-25-14,76
08-26-14,80
08-27-14,80
08-28-14,74
08-29-14,71
08-30-14,73
08-31-14,82
09-01-14,82
09-02-14,85
09-03-14,79
09-04-14,78
09-05-14,80
09-06-14,79
09-07-14,73
09-08-14,70
09-09-14,68
09-10-14,72
09-11-14,76
