date,temp
10-18-13,60
10-19-13,62
10-20-13,57
10-21-13,55
10-22-13,56
10-23-13,55
10-24-13,57
10-25-13,59
10-26-13,60
10-27-13,55
10-28-13,57
10-29-13,58
10-30-13,57
10-31-13,59
11-01-13,63
11-02-13,57
11-03-13,55
11-04-13,56
11-05-13,61
11-06-13,61
11-07-13,64
11-08-13,60
11-09-13,57
11-10-13,58
11-11-13,58
11-12-13,64
11-13-13,60
11-14-13,56
11-15-13,58
11-16-13,56
11-17-13,56
11-18-13,53
11-19-13,58
11-20-13,55
11-21-13,56
11-22-13,63
11-23-13,58
11-24-13,53
11-25-13,53
11-26-13,55
11-27-13,55
11-28-13,58
11-29-13,54
11-30-13,54
12-01-13,57
12-02-13,54
12-03-13,51
12-04-13,46
12-05-13,43
12-06-13,45
12-07-13,45
12-08-13,42
12-09-13,44
12-10-13,43
12-11-13,48
12-12-13,46
12-13-13,47
12-14-13,50
12-15-13,50
12-16-13,54
12-17-13,53
12-18-13,51
12-19-13,53
12-20-13,50
12-21-13,54
12-22-13,54
12-23-13,52
12-24-13,52
12-25-13,53
12-26-13,53
12-27-13,50
12-28-13,52
12-29-13,55
12-30-13,51
12-31-13,50
01-01-14,49
01-02-14,53
01-03-14,54
01-04-14,55
01-05-14,55
01-06-14,52
01-07-14,54
01-08-14,56
01-09-14,56
01-10-14,54
01-11-14,52
01-12-14,53
01-13-14,55
01-14-14,58
01-15-14,61
01-16-14,60
01-17-14,56
01-18-14,55
01-19-14,55
01-20-14,55
01-21-14,56
01-22-14,55
01-23-14,57
01-24-14,55
01-25-14,57
01-26-14,57
01-27-14,54
01-28-14,59
01-29-14,59
01-30-14,55
01-31-14,54
02-01-14,51
02-02-14,53
02-03-14,51
02-04-14,50
02-05-14,49
02-06-14,50
02-07-14,54
02-08-14,56
02-09-14,57
02-10-14,54
02-11-14,53
02-12-14,51
02-13-14,59
02-14-14,61
02-15-14,57
02-16-14,57
02-17-14,54
02-18-14,55
02-19-14,57
02-20-14,56
02-21-14,58
02-22-14,56
02-23-14,55
02-24-14,58
02-25-14,55
02-26-14,57
02-27-14,60
02-28-14,58
03-01-14,58
03-02-14,56
03-03-14,55
03-04-14,58
03-05-14,62
03-06-14,59
03-07-14,57
03-08-14,58
03-09-14,65
03-10-14,61
03-11-14,63
03-12-14,65
03-13-14,64
03-14-14,61
03-15-14,64
03-16-14,60
03-17-14,59
03-18-14,60
03-19-14,61
03-20-14,60
03-21-14,57
03-22-14,56
03-23-14,57
03-24-14,60
03-25-14,55
03-26-14,58
03-27-14,60
03-28-14,63
03-29-14,57
03-30-14,56
03-31-14,53
04-01-14,54
04-02-14,54
04-03-14,57
04-04-14,56
04-05-14,57
04-06-14,62
04-07-14,69
04-08-14,67
04-09-14,58
04-10-14,60
04-11-14,59
04-12-14,59
04-13-14,63
04-14-14,60
04-15-14,59
04-16-14,63
04-17-14,59
04-18-14,58
04-19-14,57
04-20-14,65
04-21-14,61
04-22-14,58
04-23-14,59
04-24-14,61
04-25-14,63
04-26-14,55
04-27-14,59
04-28-14,61
04-29-14,70
04-30-14,75
05-01-14,74
05-02-14,64
05-03-14,61
05-04-14,63
05-05-14,61
05-06-14,60
05-07-14,58
05-08-14,60
05-09-14,60
05-10-14,60
05-11-14,63
05-12-14,68
05-13-14,76
05-14-14,77
05-15-14,71
05-16-14,64
05-17-14,62
05-18-14,63
05-19-14,62
05-20-14,64
05-21-14,64
05-22-14,62
05-23-14,62
05-24-14,61
05-25-14,63
05-26-14,64
05-27-14,61
05-28-14,63
05-29-14,66
05-30-14,59
05-31-14,60
06-01-14,62
06-02-14,60
06-03-14,60
06-04-14,61
06-05-14,62
06-06-14,63
06-07-14,62
06-08-14,71
06-09-14,68
06-10-14,66
06-11-14,65
06-12-14,62
06-13-14,64
06-14-14,70
06-15-14,63
06-16-14,60
06-17-14,64
06-18-14,71
06-19-14,64
06-20-14,66
06-21-14,61
06-22-14,62
06-23-14,64
06-24-14,63
06-25-14,64
06-26-14,65
06-27-14,67
06-28-14,66
06-29-14,69
06-30-14,71
07-01-14,67
07-02-14,67
07-03-14,65
07-04-14,62
07-05-14,62
07-06-14,61
07-07-14,63
07-08-14,66
07-09-14,67
07-10-14,68
07-11-14,66
07-12-14,62
07-13-14,61
07-14-14,67
07-15-14,70
07-16-14,70
07-17-14,69
07-18-14,68
07-19-14,68
07-20-14,68
07-21-14,71
07-22-14,71
07-23-14,70
07-24-14,72
07-25-14,76
07-26-14,69
07-27-14,69
07-28-14,67
07-29-14,67
07-30-14,65
07-31-14,65
08-01-14,66
08-02-14,64
08-03-14,65
08-04-14,68
08-05-14,68
08-06-14,69
08-07-14,65
08-08-14,67
08-09-14,65
08-10-14,69
08-11-14,70
08-12-14,70
08-13-14,69
08-14-14,67
08-15-14,67
08-16-14,66
08-17-14,65
08-18-14,65
08-19-14,68
08-20-14,68
08-21-14,68
08-22-14,68
08-23-14,66
08-24-14,67
08-25-14,68
08-26-14,67
08-27-14,67
08-28-14,67
08-29-14,66
08-30-14,72
08-31-14,69
09-01-14,72
09-02-14,67
09-03-14,68
09-04-14,68
09-05-14,68
09-06-14,66
09-07-14,64
09-08-14,63
09-09-14,65
09-10-14,69
09-11-14,69
09-12-14,67
09-13-14,68
09-14-14,67
09-15-14,70
09-16-14,72
09-17-14,72
09-18-14,72
09-19-14,69
09-20-14,71
09-21-14,69
09-22-14,72
09-23-14,71
09-24-14,72
09-25-14,68
09-26-14,68
09-27-14,68
09-28-14,69
09-29-14,66
09-30-14,69
10-01-14,73
10-02-14,76
10-03-14,81
10-04-14,78
10-05-14,74
10-06-14,71
10-07-14,66
10-08-14,68
10-09-14,64
10-10-14,64
10-11-14,68
10-12-14,75
10-13-14,76
10-14-14,69
10-15-14,69
10-16-14,66
10-17-14,67
10-18-14,72
