date	count
January,1,2013	87114
January,2,2013	87597
January,3,2013	88128
January,4,2013	87008
January,5,2013	85709
January,6,2013	89204
January,7,2013	87747
January,8,2013	88685
January,9,2013	86793
January,10,2013	85282
January,11,2013	85572
January,12,2013	86941
January,13,2013	87721
January,14,2013	87882
January,15,2013	88652
January,16,2013	88549
January,17,2013	85685
January,18,2013	89911
January,19,2013	88773
January,20,2013	87654
January,21,2013	86700
January,22,2013	85859
January,23,2013	88956
January,24,2013	89567
January,25,2013	86774
January,26,2013	87763
January,27,2013	86822
January,28,2013	85350
January,29,2013	88758
January,30,2013	87161
January,31,2013	87670
February,1,2013	86232
February,2,2013	88684
February,3,2013	86634
February,4,2013	85484
February,5,2013	85790
February,6,2013	89106
February,7,2013	86074
February,8,2013	86518
February,9,2013	88005
February,10,2013	87758
February,11,2013	87936
February,12,2013	88855
February,13,2013	87870
February,14,2013	86540
February,15,2013	87687
February,16,2013	89929
February,17,2013	89038
February,18,2013	88432
February,19,2013	86150
February,20,2013	88482
February,21,2013	85038
February,22,2013	87902
February,23,2013	87362
February,24,2013	86213
February,25,2013	86516
February,26,2013	86859
February,27,2013	88992
February,28,2013	85209
March,1,2013	97561
March,2,2013	99708
March,3,2013	94787
March,4,2013	95620
March,5,2013	93646
March,6,2013	98088
March,7,2013	97666
March,8,2013	95237
March,9,2013	93651
March,10,2013	98586
March,11,2013	99374
March,12,2013	96007
March,13,2013	97161
March,14,2013	91106
March,15,2013	90998
March,16,2013	90572
March,17,2013	90900
March,18,2013	99974
March,19,2013	90996
March,20,2013	95503
March,21,2013	93235
March,22,2013	98594
March,23,2013	98272
March,24,2013	97733
March,25,2013	97531
March,26,2013	94814
March,27,2013	98916
March,28,2013	93718
March,29,2013	99415
March,30,2013	94358
March,31,2013	97113
April,1,2013	92652
April,2,2013	93674
April,3,2013	97053
April,4,2013	91614
April,5,2013	90870
April,6,2013	90496
April,7,2013	98642
April,8,2013	96394
April,9,2013	90187
April,10,2013	94343
April,11,2013	98690
