date	count
1-January-2013	85772
2-January-2013	87394
3-January-2013	89382
4-January-2013	86607
5-January-2013	86940
6-January-2013	88714
7-January-2013	87900
8-January-2013	87492
9-January-2013	86851
10-January-2013	85321
11-January-2013	85315
12-January-2013	88203
13-January-2013	89763
14-January-2013	87092
15-January-2013	89949
16-January-2013	88310
17-January-2013	87820
18-January-2013	89969
19-January-2013	87304
20-January-2013	85128
21-January-2013	89106
22-January-2013	89778
23-January-2013	86326
24-January-2013	86146
25-January-2013	87509
26-January-2013	88383
27-January-2013	86079
28-January-2013	85976
29-January-2013	88852
30-January-2013	88685
31-January-2013	87279
1-February-2013	89760
2-February-2013	88943
3-February-2013	85570
4-February-2013	89609
5-February-2013	85079
6-February-2013	87013
7-February-2013	86629
8-February-2013	86557
9-February-2013	87512
10-February-2013	87384
11-February-2013	88787
12-February-2013	85631
13-February-2013	88617
14-February-2013	86561
15-February-2013	88794
16-February-2013	89433
17-February-2013	87821
18-February-2013	86254
19-February-2013	89746
20-February-2013	87971
21-February-2013	87539
22-February-2013	85654
23-February-2013	85004
24-February-2013	89142
25-February-2013	89030
26-February-2013	88408
27-February-2013	86855
28-February-2013	88989
1-March-2013	93691
2-March-2013	95110
3-March-2013	99157
4-March-2013	98991
5-March-2013	92040
6-March-2013	99525
7-March-2013	94718
8-March-2013	97459
9-March-2013	94579
10-March-2013	91266
11-March-2013	96144
12-March-2013	98662
13-March-2013	97527
14-March-2013	90468
15-March-2013	96678
16-March-2013	99890
17-March-2013	91034
18-March-2013	95543
19-March-2013	92126
20-March-2013	97995
21-March-2013	95787
22-March-2013	92918
23-March-2013	97110
24-March-2013	91744
25-March-2013	90571
26-March-2013	97440
27-March-2013	94331
28-March-2013	95393
29-March-2013	96752
30-March-2013	91015
31-March-2013	95704
1-April-2013	91955
2-April-2013	91370
3-April-2013	95452
4-April-2013	94485
5-April-2013	93665
6-April-2013	90531
7-April-2013	91490
8-April-2013	90883
9-April-2013	92162
10-April-2013	90283
11-April-2013	91210
12-April-2013	90980
13-April-2013	98349
14-April-2013	91506
15-April-2013	97958
16-April-2013	92732
17-April-2013	94380
18-April-2013	95306
19-April-2013	91110
20-April-2013	95614
21-April-2013	90818
22-April-2013	92881
23-April-2013	92393
24-April-2013	94886
25-April-2013	95347
26-April-2013	98133
27-April-2013	91363
28-April-2013	91077
29-April-2013	97861
30-April-2013	94904
1-May-2013	92149
2-May-2013	91836
3-May-2013	92987
4-May-2013	97827
5-May-2013	98106
6-May-2013	93802
7-May-2013	96786
8-May-2013	99418
9-May-2013	98212
10-May-2013	98290
11-May-2013	97203
12-May-2013	96523
13-May-2013	98138
14-May-2013	96390
15-May-2013	97161
16-May-2013	93944
17-May-2013	92534
18-May-2013	96609
19-May-2013	97107
20-May-2013	90480
21-May-2013	99488
22-May-2013	95037
23-May-2013	96589
24-May-2013	96259
25-May-2013	96561
26-May-2013	99218
27-May-2013	98238
28-May-2013	90427
29-May-2013	96632
30-May-2013	94262
31-May-2013	98657
1-June-2013	94461
2-June-2013	96412
3-June-2013	91315
4-June-2013	91746
5-June-2013	98788
6-June-2013	91780
7-June-2013	93150
8-June-2013	91767
9-June-2013	94497
10-June-2013	90601
11-June-2013	91321
12-June-2013	93004
13-June-2013	99523
14-June-2013	95158
15-June-2013	90527
16-June-2013	99416
17-June-2013	95961
18-June-2013	90270
19-June-2013	91731
20-June-2013	92268
21-June-2013	99164
22-June-2013	93509
23-June-2013	92931
24-June-2013	91654
25-June-2013	95386
26-June-2013	92894
27-June-2013	91775
28-June-2013	99793
