date,temp
10-18-13,50
10-19-13,55
10-20-13,61
10-21-13,54
10-22-13,39
10-23-13,45
10-24-13,44
10-25-13,52
10-26-13,54
10-27-13,54
10-28-13,54
10-29-13,58
10-30-13,62
10-31-13,63
11-01-13,48
11-02-13,46
11-03-13,52
11-04-13,58
11-05-13,54
11-06-13,57
11-07-13,45
11-08-13,47
11-09-13,58
11-10-13,49
11-11-13,46
11-12-13,32
11-13-13,40
11-14-13,49
11-15-13,50
11-16-13,60
11-17-13,66
11-18-13,43
11-19-13,43
11-20-13,43
11-21-13,49
11-22-13,43
11-23-13,24
11-24-13,26
11-25-13,31
11-26-13,33
11-27-13,27
11-28-13,34
11-29-13,36
11-30-13,51
12-01-13,46
12-02-13,44
12-03-13,49
12-04-13,55
12-05-13,36
12-06-13,20
12-07-13,20
12-08-13,24
12-09-13,24
12-10-13,20
12-11-13,19
12-12-13,18
12-13-13,31
12-14-13,30
12-15-13,20
12-16-13,21
12-17-13,32
12-18-13,33
12-19-13,39
12-20-13,35
12-21-13,34
12-22-13,33
12-23-13,26
12-24-13,17
12-25-13,26
12-26-13,34
12-27-13,39
12-28-13,46
12-29-13,36
12-30-13,11
12-31-13,11
01-01-14,21
01-02-14,17
01-03-14,19
01-04-14,31
01-05-14,29
01-06-14,-4
01-07-14,2
01-08-14,15
01-09-14,27
01-10-14,39
01-11-14,38
01-12-14,41
01-13-14,41
01-14-14,35
01-15-14,21
01-16-14,34
01-17-14,17
01-18-14,20
01-19-14,38
01-20-14,36
01-21-14,12
01-22-14,15
01-23-14,7
01-24-14,28
01-25-14,33
01-26-14,30
01-27-14,4
01-28-14,2
01-29-14,21
01-30-14,31
01-31-14,22
02-01-14,30
02-02-14,19
02-03-14,18
02-04-14,24
02-05-14,24
02-06-14,6
02-07-14,10
02-08-14,15
02-09-14,16
02-10-14,9
02-11-14,11
02-12-14,22
02-13-14,28
02-14-14,20
02-15-14,22
02-16-14,27
02-17-14,29
02-18-14,42
02-19-14,40
02-20-14,46
02-21-14,35
02-22-14,32
02-23-14,25
02-24-14,22
02-25-14,20
02-26-14,17
02-27-14,17
02-28-14,28
03-01-14,29
03-02-14,11
03-03-14,21
03-04-14,26
03-05-14,23
03-06-14,31
03-07-14,42
03-08-14,36
03-09-14,39
03-10-14,49
03-11-14,50
03-12-14,33
03-13-14,36
03-14-14,51
03-15-14,42
03-16-14,26
03-17-14,39
03-18-14,51
03-19-14,43
03-20-14,46
03-21-14,55
03-22-14,41
03-23-14,31
03-24-14,35
03-25-14,30
03-26-14,39
